year,month,price,currency
2015,Jan ,3.78,NZD
2015,Feb ,3.79,NZD
2015,Mar ,3.64,NZD
2015,Apr ,3.71,NZD
2015,May ,3.87,NZD
2015,Jun ,3.83,NZD
2015,Jul ,3.81,NZD
2015,Aug ,3.77,NZD
2015,Sep ,3.74,NZD
2015,Oct ,3.76,NZD
2015,Nov ,3.82,NZD
2015,Dec ,3.64,NZD
2016,Jan ,3.77,NZD
2016,Feb ,3.72,NZD
2016,Mar ,3.75,NZD
2016,Apr ,3.8,NZD
2016,May ,3.78,NZD
2016,Jun ,3.8,NZD
2016,Jul ,3.77,NZD
2016,Aug ,3.82,NZD
2016,Sep ,3.88,NZD
2016,Oct ,3.94,NZD
2016,Nov ,3.73,NZD
2016,Dec ,3.8,NZD
2017,Jan ,3.8,NZD
2017,Feb ,3.85,NZD
2017,Mar ,3.87,NZD
2017,Apr ,3.9,NZD
2017,May ,3.93,NZD
2017,Jun ,3.83,NZD
2017,Jul ,3.76,NZD
2017,Aug ,3.74,NZD
2017,Sep ,3.77,NZD
2017,Oct ,3.9,NZD
2017,Nov ,3.89,NZD
2017,Dec ,3.81,NZD
2018,Jan ,3.9,NZD
2018,Feb ,3.91,NZD
2018,Mar ,3.9,NZD
2018,Apr ,3.89,NZD
2018,May ,3.88,NZD
2018,Jun ,3.8,NZD
2018,Jul ,3.86,NZD
2018,Aug ,4,NZD
2018,Sep ,4.14,NZD
2018,Oct ,4.18,NZD
2018,Nov ,4.18,NZD
2018,Dec ,4.25,NZD
2019,Jan ,4.19,NZD
2019,Feb ,4.3,NZD
2019,Mar ,4.32,NZD
2019,Apr ,4.43,NZD
2019,May ,4.51,NZD
2019,Jun ,4.63,NZD
2019,Jul ,4.51,NZD
2019,Aug ,4.61,NZD
2019,Sep ,4.44,NZD
2019,Oct ,4.42,NZD
2019,Nov ,4.39,NZD
2019,Dec ,4.39,NZD
2020,Jan ,4.48,NZD
2020,Feb ,4.53,NZD
2020,Mar ,4.48,NZD
2020,Apr ,4.78,NZD
2020,May ,4.64,NZD
2020,Jun ,4.31,NZD
2020,Jul ,4.34,NZD
2020,Aug ,4.57,NZD
2020,Sep ,4.42,NZD
2020,Oct ,4.46,NZD
2020,Nov ,4.21,NZD
2020,Dec ,4.32,NZD
2021,Jan ,4.22,NZD
2021,Feb ,4.3,NZD
2021,Mar ,4.46,NZD
2021,Apr ,4.48,NZD
2021,May ,4.62,NZD
2021,Jun ,4.66,NZD
2021,Jul ,4.81,NZD
2021,Aug ,4.65,NZD
2021,Sep ,5.22,NZD
2021,Oct ,4.98,NZD
2021,Nov ,5.13,NZD
2021,Dec ,5.07,NZD
2022,Jan ,5.09,NZD
2022,Feb ,5.15,NZD
2022,Mar ,4.93,NZD
2022,Apr ,5.01,NZD
2022,May ,4.86,NZD
2022,Jun ,5.13,NZD
2022,Jul ,5.34,NZD
2022,Aug ,5.85,NZD
2022,Sep ,5.85,NZD
2022,Oct ,6.28,NZD
2022,Nov ,5.93,NZD
2022,Dec ,6.68,NZD
2023,Jan ,7.04,NZD
2023,Feb ,7.84,NZD
2023,Mar ,8.36,NZD
2023,Apr ,8.44,NZD
2023,May ,8.58,NZD
2023,Jun ,8.58,NZD
2023,Jul ,9.5,NZD
2023,Aug ,9.31,NZD
2023,Sep ,9.19,NZD
2023,Oct ,9.08,NZD
2023,Nov ,9.3,NZD
2023,Dec ,9.28,NZD
