CA_code,VA_code,estimate,ASE,flag
C01T,V01A,21.2,1,
C01T,V01B,20.7,1.1,
C01T,V01C,29.1,1.2,
C01T,V01D,13.7,1,
C01T,V01E,15.3,0.9,
C01T,V01M,7.6,0,
C01T,V02A,15.6,1,
C01T,V02B,13.4,0.9,
C01T,V02C,26.3,1.1,
C01T,V02D,19,1.1,
C01T,V02E,25.8,1.3,
C01T,V02M,8.1,0,
C01T,V03A,16.6,1,
C01T,V03B,17,1.1,
C01T,V03C,28.3,1.1,
C01T,V03D,16.2,1,
C01T,V03E,22,1.1,
C01T,V03M,7.9,0,
C01T,V04A,22.1,1.2,
C01T,V04B,19.8,1.1,
C01T,V04C,28.1,1.2,
C01T,V04D,13.9,1,
C01T,V04E,16.1,0.9,
C01T,V04M,7.6,0.1,
C01T,V05A,27.3,1.2,
C01T,V05B,20.4,1,
C01T,V05C,23.7,1,
C01T,V05D,11.3,0.8,
C01T,V05E,17.3,1.1,
C01T,V05M,7.4,0.1,
C01T,V06A,2.4,0.4,
C01T,V06B,5.1,0.5,
C01T,V06C,15.4,1,
C01T,V06D,38.8,1.3,
C01T,V06E,38.2,1.3,
C01T,V06M,7.7,0.1,
C01T,V07A,52.3,1.4,
C01T,V07B,16.1,1,
C01T,V07C,16.1,1,
C01T,V07D,12.2,0.8,
C01T,V07E,3.4,0.5,
C01T,V07M,3,0.1,
C01T,V08A,81.6,1.1,
C01T,V08B,7.9,0.8,
C01T,V08C,10.5,0.9,
C01T,V08M,4.6,0.1,
C01T,V09A,74.3,1.3,
C01T,V09B,14.5,1,
C01T,V09C,11.2,1,
C01T,V10A,69.1,1.5,
C01T,V10B,15.6,1,
C01T,V10C,15.3,1.2,
C01T,V11A,9.4,0.9,
C01T,V11B,55.7,1.5,
C01T,V11C,34.9,1.4,
C01T,V12A,10.6,0.9,
C01T,V12B,28.5,1.3,
C01T,V12C,45.1,1.3,
C01T,V12D,15.8,0.9,
C01T,V13A,47.7,1.3,
C01T,V13B,28,1.3,
C01T,V13C,56.9,1.3,
C01T,V13D,58.5,1.4,
C01T,V13E,28.1,1.3,
C01T,V13F,34.4,1.3,
C01T,V14A,24.5,1.1,
C01T,V14B,38.1,1.4,
C01T,V14C,22.6,1.1,
C01T,V14D,14.8,1,
C01T,V15A,24.4,1.3,
C01T,V15B,22.3,1.2,
C01T,V15C,16.3,1.1,
C01T,V15D,16.8,1,
C01T,V15E,20.2,1.1,
C01T,V16A,17.8,1.1,
C01T,V16B,7.9,0.7,
C01T,V17A,13.7,1.1,
C01T,V17B,33.4,1.5,
C01T,V17C,33.7,1.4,
C01T,V17D,19.2,1.1,
C01T,V18A,59.2,1.5,
C01T,V18B,47.6,1.4,
C01T,V18C,38.4,1.3,
C01T,V18D,32.7,1.5,
C01T,V18E,51.1,1.4,
C01T,V18F,26.4,1.2,
C01T,V18M,15.1,0.1,
C01T,V19A,20.6,1.1,
C01T,V19B,28.5,1.4,
C01T,V19C,48.5,1.5,
C01T,V19D,2.4,0.4,
C01T,V20A,4.9,0.6,
C01T,V20B,29,1.4,
C01T,V20C,66.1,1.6,
C01T,V21A,35.4,1.3,
C01T,V21B,64.6,1.3,
C01T,V22A,28.8,1.3,
C01T,V22B,49.1,1.4,
C01T,V22C,16.7,1,
C01T,V22D,5.3,0.6,
C01T,V23A,14,1,
C01T,V23B,8.2,0.8,
C01T,V23C,22.3,1,
C01T,V23D,11.2,0.8,
C01T,V23E,13.9,1,
C01T,V23F,13.3,0.9,
C01T,V23G,4.2,0.6,
C01T,V23H,12.8,0.9,
C01T,V23M,6.1,0.1,
C01T,V24A,55.1,1.5,
C01T,V24B,80.1,1.1,
C01T,V24C,42,2.1,
C01T,V24D,65.2,1.4,
C01T,V25A,21.8,1.1,
C01T,V26A,43,1.3,
C01T,V26B,17,1.1,
C01T,V26C,18.1,1,
C01T,V26D,14,1,
C01T,V26E,7.8,0.7,
C01T,V26M,3.7,0.1,
C01T,V27A,55.1,1.5,
C01T,V27B,48.1,1.2,
C01T,V27C,49.1,1.3,
C01T,V27D,36.7,1.3,
C01T,V27E,13.6,1.1,
C01T,V27F,48.3,1.5,
C01T,V28A,16.4,1.2,
C01T,V29A,58.4,1.3,
C01T,V29B,83.5,1,
C01T,V29C,64.9,1.3,
C01T,V29D,78.2,1.3,
C01T,V30A,3.9,0.5,
C01T,V30B,74.8,1,
C01T,V30C,21.2,1.1,
C01T,V31A,3.1,0.5,
C01T,V31B,72.8,1.1,
C01T,V31C,24.1,1.1,
C01T,V32A,56.1,1.4,
C01T,V32B,25.9,1,
C01T,V32C,13.9,1,
C01T,V32D,4,0.6,
C01T,V33A,67.3,1.5,
C01T,V33B,75.7,1.2,
C01T,V34A,97.1,0.5,
C01T,V34B,96.3,0.5,
C01T,V34C,92.7,0.8,
C01T,V34D,96.3,0.5,
C01T,V34E,95.5,0.6,
