Symbol,Oclc symbol,Library type,Library type,Name,Web address,Street address,Postal address,Email,Main phone number,NZ int scheme member,Te Puna int member,IBS member,Status in NZ IL Scheme,Manager,Manager email,Interloan librarian,Phone interloan,Email interloan,Notes
TWO,NZTWO,Special,Library,Health New Zealand Te Whatu Ora Library,,"North Shore Hospital,
cnr Taharoto & Shakespeare Roads,
Auckland 0622,
New Zealand",,,,true,true,true,TBA,Peter Murgatroyd,peter.murgatroyd@tewhatuora.govt.nz,,,,
IACS,IACS,,Music hire,A Capella Singers,https://www.acapellasingers.org.nz,"41 Islington Street
Turnbull Thompson Park
Invercargill 9810
New Zealand","41 Islington Street
Turnbull Thompson Park
Invercargill 9810
New Zealand",michellejanewalker@gmail.com,+64 3 211 0207,false,false,false,TBA,IACS Hire,michellejanewalker@gmail.com,,,,Michelle Walker (Secretary). Di Lenihan (Music Director) plenihan@kinect.co.nz
WAT,NZACC,Special,Library,ACC Information Management,http://www.acc.co.nz,"19 Aitken Street
Thorndon
Wellington 6011
New Zealand","PO Box 242
Wellington 6140
New Zealand",library@acc.co.nz,+64 4 816 6261,true,true,true,Charter,Kerry Southee,library@acc.co.nz,Nina Gallavan,+64 4 816 6261,library@acc.co.nz,
RUAG,A2J,Special,Library,AgResearch Library,,"10 Bisley Rd
Enderley
Hamilton 3241
New Zealand","Private Bag 3123
Hamilton 3240
New Zealand",library@agresearch.co.nz,+64 7 856 2836,true,true,true,Charter,Megan Symes,Megan.Symes@agresearch.co.nz,Deirdre Congdon,+64 7 856 2836,library@agresearch.co.nz,
WTU,NZWTU,,Library,Alexander Turnbull Library - National Library of New Zealand,http://natlib.govt.nz/,"Dockway 1, Aitken Street
Wellington 6011
New Zealand","PO Box 12 349
Wellington 6144
New Zealand",wtu.interloans@dia.govt.nz,+64 4 474 3000,true,true,true,Charter,,,Interloans,+64 4 474 3000,wtu.interloans@dia.govt.nz,Research library which does not lend any original items; supplies microfilm and photocopies of selected material only.   Use National Library web site to order copies of large items.
CPY,XC$,Tertiary,Library,Ara Institute of Canterbury Limited,https://www.ara.ac.nz/services-and-support/library,"130 Madras Street
Christchurch 8011
New Zealand","PO Box 540
Christchurch 8140
New Zealand",docsupply@ara.ac.nz,+64 3 940 8369,true,true,true,Charter,Kumar Chidambaranathan,kumar.chidambaranathan@ara.ac.nz,Interloans,+64 3 940 8369,docsupply@ara.ac.nz,
RUAM,NZKMA,Special,Library,Army Museum Waiouru,,"State Highway 1
Waiouru
New Zealand","PO Box 45
Waiouru
New Zealand",lucy.alabaster@nzdf.mil.nz,+64 6 387 6911,false,false,false,TBA,Lucy Alabaster,lucy.alabaster@nzdf.mil.nz,Lucy Alabaster,+64 6 387 6911,lucy.alabaster@nzdf.mil.nz,Reference library only
NPAN,NPAN,,Music hire,Ars Nova Choir,,"172A Carrington Street
Lower Vogeltown
New Plymouth 4310
New Zealand","172A Carrington Street
Lower Vogeltown
New Plymouth 4310
New Zealand",capurdy@clear.net.nz,+64 6 753 0177,false,false,false,TBA,NPAN Hire,capurdy@clear.net.nz,,,,
ASB,,Special,Library,ASB Information Centre,,"Level 5 , ASB Bank
135 Albert Street
Auckland 1010
New Zealand","PO Box 35
Auckland 1010
New Zealand",informationcentre@asb.co.nz,+64 9 374 8262,false,false,false,TBA,Rachel Callander,informationcentre@asb.co.nz,,,,
ASP,NZASP,Public,Library,Ashburton Library,https://www.ashburtondc.govt.nz/community-facilities/library,"2 Baring Square East
Ashburton 7700
New Zealand","2 Baring Square East
Ashburton 7700
New Zealand",library@adc.govt.nz,+64 3 308 7192,true,true,true,Charter,Jane Riach,jane.riach@adc.govt.nz,Phoebe Wang,+64 3 308 7192,library@adc.govt.nz,Last updated: 23/07/2025
