library_type_3,name,street_address,latitude,longitude
Public,Ashburton Library,"2 Baring Square East
Ashburton 7700
New Zealand",-43.9040305,171.7499728
Public,Auckland Libraries,"Central City Library
44-46 Lorne Street
Auckland 1010
New Zealand",NA,NA
Public,Auckland Libraries Corporate Information Service,"Level 13, Auckland House
135 Albert Street
Auckland 1010
New Zealand",NA,NA
Public,Buller District Libraries,"87- 89 Palmerston St
Westport 7825
New Zealand",NA,NA
Public,Carterton District Library,"50 Holloway Street
Carterton 5713
New Zealand",-41.0255764,175.5286543
Public,Central Hawkes Bay District Libraries,"High Street
Waipawa 4210
New Zealand",-39.9437907,176.5872268
Public,Central Otago District Libraries,"43 Tarbert Street
Alexandra 9320
New Zealand",-45.2499614,169.3967489
Public,Christchurch City Libraries,"60 Cathedral Square
Christchurch 8011
New Zealand",-43.5300953,172.6372399
Public,Clutha District Libraries,"23 John Street
Balclutha 9230
New Zealand",NA,NA
Public,Dunedin Public Libraries,"230 Moray Place
Dunedin 9016
New Zealand",-45.8729302,170.5033188
Public,Far North District Libraries,"Procter Library,
6 Cobham Road,
Kerikeri 0230,
New Zealand",-35.2278639,173.9496054
Public,Gore District Libraries,"10C Ardwick Street
Gore 9710
New Zealand",-46.1025688,168.9413878
Public,Grey District Library,"18 Albert Street
Greymouth 7805
New Zealand",-42.4483155,171.2096657
Public,Hamilton City Libraries,"9 Garden Place
Hamilton 3240
New Zealand",-37.7880815,175.2825066
Public,Hastings District Libraries,"cnr Eastbourne & Warren Streets
Hastings 4122
New Zealand",NA,NA
Public,Hauraki District Libraries,"5 Mackay Street
Paeroa 3600
New Zealand",NA,NA
Public,HB Williams Memorial Library,"34 Bright Street
Gisborne 4010
New Zealand",-38.6652745,178.0255264
Public,Horowhenua District Council,"10 Bath Street
Levin 5510
New Zealand",-40.6221868,175.2814774
Public,Hurunui District Library,"111 Carters Road
Amberley 7410
New Zealand",-43.1550258,172.7303872
Public,Hutt City Libraries,"c/- War Memorial Library,
2 Queens Drive,
Lower Hutt 5010,
New Zealand",NA,NA
Public,Invercargill City Libraries,"50 Dee Street
Invercargill 9840
New Zealand",-46.4110755,168.3467763
Public,Kaikōura District Library,"Civic Building, Level 1
96 West End
Kaikoura 7300
New Zealand",NA,NA
Public,Kaipara District Libraries,"Dargaville Public Library,
71 Normanby Street,
Dargaville 0310,
New Zealand",NA,NA
Public,Kāpiti Coast District Libraries,"9 Iver Trask Place
Paraparaumu 5032
New Zealand",NA,NA
