STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,YEAR_POPES_SUB_003,Year at 30 June,SEX_POPES_SUB_003,Sex,AGE_POPES_SUB_003,Age,AREA_POPES_SUB_003,Area,OBS_VALUE,Observation value
DATAFLOW,STATSNZ:POPES_SUB_003(1.0),"Subnational population estimates (RC, constituency), by age and sex, at 30 June 2023-24 (2023 boundaries)",I,2023,2023,3,"Total people, sex",999999,"Total people, age",05,Gisborne region,52300,
DATAFLOW,STATSNZ:POPES_SUB_003(1.0),"Subnational population estimates (RC, constituency), by age and sex, at 30 June 2023-24 (2023 boundaries)",I,2024,2024,3,"Total people, sex",999999,"Total people, age",RC9999,Total New Zealand by regional councils,5287500,
DATAFLOW,STATSNZ:POPES_SUB_003(1.0),"Subnational population estimates (RC, constituency), by age and sex, at 30 June 2023-24 (2023 boundaries)",I,2023,2023,3,"Total people, sex",999999,"Total people, age",03,Waikato region,516800,
DATAFLOW,STATSNZ:POPES_SUB_003(1.0),"Subnational population estimates (RC, constituency), by age and sex, at 30 June 2023-24 (2023 boundaries)",I,2024,2024,3,"Total people, sex",999999,"Total people, age",07,Taranaki region,130500,
DATAFLOW,STATSNZ:POPES_SUB_003(1.0),"Subnational population estimates (RC, constituency), by age and sex, at 30 June 2023-24 (2023 boundaries)",I,2023,2023,3,"Total people, sex",999999,"Total people, age",15,Southland region,102700,
DATAFLOW,STATSNZ:POPES_SUB_003(1.0),"Subnational population estimates (RC, constituency), by age and sex, at 30 June 2023-24 (2023 boundaries)",I,2024,2024,3,"Total people, sex",999999,"Total people, age",06,Hawke's Bay region,181100,
DATAFLOW,STATSNZ:POPES_SUB_003(1.0),"Subnational population estimates (RC, constituency), by age and sex, at 30 June 2023-24 (2023 boundaries)",I,2024,2024,3,"Total people, sex",999999,"Total people, age",15,Southland region,103800,
DATAFLOW,STATSNZ:POPES_SUB_003(1.0),"Subnational population estimates (RC, constituency), by age and sex, at 30 June 2023-24 (2023 boundaries)",I,2023,2023,3,"Total people, sex",999999,"Total people, age",06,Hawke's Bay region,179000,
DATAFLOW,STATSNZ:POPES_SUB_003(1.0),"Subnational population estimates (RC, constituency), by age and sex, at 30 June 2023-24 (2023 boundaries)",I,2023,2023,3,"Total people, sex",999999,"Total people, age",02,Auckland region,1755200,
DATAFLOW,STATSNZ:POPES_SUB_003(1.0),"Subnational population estimates (RC, constituency), by age and sex, at 30 June 2023-24 (2023 boundaries)",I,2024,2024,3,"Total people, sex",999999,"Total people, age",04,Bay of Plenty region,351700,
DATAFLOW,STATSNZ:POPES_SUB_003(1.0),"Subnational population estimates (RC, constituency), by age and sex, at 30 June 2023-24 (2023 boundaries)",I,2024,2024,3,"Total people, sex",999999,"Total people, age",17,Nelson region,54400,
DATAFLOW,STATSNZ:POPES_SUB_003(1.0),"Subnational population estimates (RC, constituency), by age and sex, at 30 June 2023-24 (2023 boundaries)",I,2023,2023,3,"Total people, sex",999999,"Total people, age",13,Canterbury region,676600,
DATAFLOW,STATSNZ:POPES_SUB_003(1.0),"Subnational population estimates (RC, constituency), by age and sex, at 30 June 2023-24 (2023 boundaries)",I,2024,2024,3,"Total people, sex",999999,"Total people, age",16,Tasman region,59800,
DATAFLOW,STATSNZ:POPES_SUB_003(1.0),"Subnational population estimates (RC, constituency), by age and sex, at 30 June 2023-24 (2023 boundaries)",I,2023,2023,3,"Total people, sex",999999,"Total people, age",12,West Coast region,33900,
DATAFLOW,STATSNZ:POPES_SUB_003(1.0),"Subnational population estimates (RC, constituency), by age and sex, at 30 June 2023-24 (2023 boundaries)",I,2024,2024,3,"Total people, sex",999999,"Total people, age",18,Marlborough region,51600,
DATAFLOW,STATSNZ:POPES_SUB_003(1.0),"Subnational population estimates (RC, constituency), by age and sex, at 30 June 2023-24 (2023 boundaries)",I,2024,2024,3,"Total people, sex",999999,"Total people, age",05,Gisborne region,53000,
DATAFLOW,STATSNZ:POPES_SUB_003(1.0),"Subnational population estimates (RC, constituency), by age and sex, at 30 June 2023-24 (2023 boundaries)",I,2023,2023,3,"Total people, sex",999999,"Total people, age",RC9999,Total New Zealand by regional councils,5200000,
DATAFLOW,STATSNZ:POPES_SUB_003(1.0),"Subnational population estimates (RC, constituency), by age and sex, at 30 June 2023-24 (2023 boundaries)",I,2023,2023,3,"Total people, sex",999999,"Total people, age",17,Nelson region,54300,
DATAFLOW,STATSNZ:POPES_SUB_003(1.0),"Subnational population estimates (RC, constituency), by age and sex, at 30 June 2023-24 (2023 boundaries)",I,2024,2024,3,"Total people, sex",999999,"Total people, age",03,Waikato region,527600,
DATAFLOW,STATSNZ:POPES_SUB_003(1.0),"Subnational population estimates (RC, constituency), by age and sex, at 30 June 2023-24 (2023 boundaries)",I,2023,2023,3,"Total people, sex",999999,"Total people, age",14,Otago region,248500,
DATAFLOW,STATSNZ:POPES_SUB_003(1.0),"Subnational population estimates (RC, constituency), by age and sex, at 30 June 2023-24 (2023 boundaries)",I,2024,2024,3,"Total people, sex",999999,"Total people, age",12,West Coast region,34300,
DATAFLOW,STATSNZ:POPES_SUB_003(1.0),"Subnational population estimates (RC, constituency), by age and sex, at 30 June 2023-24 (2023 boundaries)",I,2024,2024,3,"Total people, sex",999999,"Total people, age",13,Canterbury region,687100,
DATAFLOW,STATSNZ:POPES_SUB_003(1.0),"Subnational population estimates (RC, constituency), by age and sex, at 30 June 2023-24 (2023 boundaries)",I,2023,2023,3,"Total people, sex",999999,"Total people, age",01,Northland region,198500,
DATAFLOW,STATSNZ:POPES_SUB_003(1.0),"Subnational population estimates (RC, constituency), by age and sex, at 30 June 2023-24 (2023 boundaries)",I,2023,2023,3,"Total people, sex",999999,"Total people, age",08,Manawatū-Whanganui region,257800,
DATAFLOW,STATSNZ:POPES_SUB_003(1.0),"Subnational population estimates (RC, constituency), by age and sex, at 30 June 2023-24 (2023 boundaries)",I,2023,2023,3,"Total people, sex",999999,"Total people, age",18,Marlborough region,50800,
DATAFLOW,STATSNZ:POPES_SUB_003(1.0),"Subnational population estimates (RC, constituency), by age and sex, at 30 June 2023-24 (2023 boundaries)",I,2023,2023,3,"Total people, sex",999999,"Total people, age",16,Tasman region,59100,
DATAFLOW,STATSNZ:POPES_SUB_003(1.0),"Subnational population estimates (RC, constituency), by age and sex, at 30 June 2023-24 (2023 boundaries)",I,2023,2023,3,"Total people, sex",999999,"Total people, age",09,Wellington region,538000,
DATAFLOW,STATSNZ:POPES_SUB_003(1.0),"Subnational population estimates (RC, constituency), by age and sex, at 30 June 2023-24 (2023 boundaries)",I,2024,2024,3,"Total people, sex",999999,"Total people, age",01,Northland region,200800,
DATAFLOW,STATSNZ:POPES_SUB_003(1.0),"Subnational population estimates (RC, constituency), by age and sex, at 30 June 2023-24 (2023 boundaries)",I,2023,2023,3,"Total people, sex",999999,"Total people, age",04,Bay of Plenty region,346500,
DATAFLOW,STATSNZ:POPES_SUB_003(1.0),"Subnational population estimates (RC, constituency), by age and sex, at 30 June 2023-24 (2023 boundaries)",I,2024,2024,3,"Total people, sex",999999,"Total people, age",09,Wellington region,541500,
DATAFLOW,STATSNZ:POPES_SUB_003(1.0),"Subnational population estimates (RC, constituency), by age and sex, at 30 June 2023-24 (2023 boundaries)",I,2024,2024,3,"Total people, sex",999999,"Total people, age",02,Auckland region,1797300,
DATAFLOW,STATSNZ:POPES_SUB_003(1.0),"Subnational population estimates (RC, constituency), by age and sex, at 30 June 2023-24 (2023 boundaries)",I,2024,2024,3,"Total people, sex",999999,"Total people, age",14,Otago region,251300,
DATAFLOW,STATSNZ:POPES_SUB_003(1.0),"Subnational population estimates (RC, constituency), by age and sex, at 30 June 2023-24 (2023 boundaries)",I,2024,2024,3,"Total people, sex",999999,"Total people, age",08,Manawatū-Whanganui region,261100,
DATAFLOW,STATSNZ:POPES_SUB_003(1.0),"Subnational population estimates (RC, constituency), by age and sex, at 30 June 2023-24 (2023 boundaries)",I,2023,2023,3,"Total people, sex",999999,"Total people, age",07,Taranaki region,129400,
