library_type_3,name,street_address,city,latitude,longitude
Public,Ashburton Library,"2 Baring Square East
Ashburton 7700
New Zealand",NA,-43.904030515768,171.749972827616
Public,Auckland Libraries,"Central City Library
44-46 Lorne Street
Auckland 1010
New Zealand",Auckland,-36.851736,174.7653855
Public,Auckland Libraries Corporate Information Service,"Level 13, Auckland House
135 Albert Street
Auckland 1010
New Zealand",Auckland,-36.850033075013,174.762577859109
Public,Buller District Libraries,"87- 89 Palmerston St
Westport 7825
New Zealand",NA,-41.751876353239,171.597970381044
Public,Carterton District Library,"50 Holloway Street
Carterton 5713
New Zealand",NA,-41.025549178489,175.528709206511
Public,Central Hawkes Bay District Libraries,"High Street
Waipawa 4210
New Zealand",NA,-39.941495938174,176.589773958703
Public,Central Otago District Libraries,"43 Tarbert Street
Alexandra 9320
New Zealand",NA,-45.256073328485,169.393074355865
Public,Christchurch City Libraries,"60 Cathedral Square
Christchurch 8011
New Zealand",Christchurch,-43.530132045751,172.637163918762
Public,Clutha District Libraries,"23 John Street
Balclutha 9230
New Zealand",NA,-46.240234015509,169.739725185359
Public,Dunedin Public Libraries,"230 Moray Place
Dunedin 9016
New Zealand",Dunedin,-45.872753954433,170.503658508185
Public,Far North District Libraries,"Procter Library,
6 Cobham Road,
Kerikeri 0230,
New Zealand",NA,-35.227932261875,173.949421771778
Public,Gore District Libraries,"10C Ardwick Street
Gore 9710
New Zealand",NA,-46.102538675118,168.941163965008
Public,Grey District Library,"18 Albert Street
Greymouth 7805
New Zealand",NA,-42.44884130659,171.209458173816
Public,Hamilton City Libraries,"9 Garden Place
Hamilton 3240
New Zealand",Hamilton,-37.787856896309,175.282361048871
Public,Hastings District Libraries,"cnr Eastbourne & Warren Streets
Hastings 4122
New Zealand",NA,-39.644396691418,176.844070207721
Public,Hauraki District Libraries,"5 Mackay Street
Paeroa 3600
New Zealand",NA,-37.380134261856,175.671371713128
Public,HB Williams Memorial Library,"34 Bright Street
Gisborne 4010
New Zealand",NA,-38.665274478805,178.025526366208
Public,Horowhenua District Council,"10 Bath Street
Levin 5510
New Zealand",NA,-40.62307830929,175.284046817238
Public,Hurunui District Library,"111 Carters Road
Amberley 7410
New Zealand",NA,-43.155013589726,172.730294406754
Public,Hutt City Libraries,"c/- War Memorial Library,
2 Queens Drive,
Lower Hutt 5010,
New Zealand",NA,-41.211804706236,174.900454969565
Public,Invercargill City Libraries,"50 Dee Street
Invercargill 9840
New Zealand",NA,-46.411142119398,168.347045783115
Public,Kaikōura District Library,"Civic Building, Level 1
96 West End
Kaikoura 7300
New Zealand",NA,-42.402701947094,173.682407780403
Public,Kaipara District Libraries,"Dargaville Public Library,
71 Normanby Street,
Dargaville 0310,
New Zealand",NA,-35.940270775901,173.869922772921
Public,Kāpiti Coast District Libraries,"9 Iver Trask Place
Paraparaumu 5032
New Zealand",NA,-40.914802827094,175.002548619615
