"Week","Date","Fuel","Variable","Value","Unit","Status"
"2004w17",2004-04-23,"NA","Dubai crude price",32.1,"USD/bbl","Final"
"2004w17",2004-04-23,"NA","Dubai crude price",50.74,"NZD/bbl","Final"
"2004w17",2004-04-23,"NA","Exchange rate",0.633,"USD/NZD","Final"
"2004w17",2004-04-23,"Diesel","Importer cost",43.4,"NZD c/L","Final"
"2004w17",2004-04-23,"Diesel","Price excluding tax",59.6,"NZD c/L","Final"
"2004w17",2004-04-23,"Diesel","ETS",0,"NZD c/L","Final"
"2004w17",2004-04-23,"Diesel","GST",7.5,"NZD c/L","Final"
"2004w17",2004-04-23,"Diesel","Taxes",0.4,"NZD c/L","Final"
"2004w17",2004-04-23,"Diesel","Board price",67.5,"NZD c/L","Final"
"2004w17",2004-04-23,"Diesel","Adjusted retail price",67.5,"NZD c/L","Final"
"2004w17",2004-04-23,"Diesel","Importer margin",18.7,"NZD c/L","Final"
"2004w17",2004-04-23,"Diesel","Importer margin trend",18.3338225001986,"NZD c/L","Final"
"2004w17",2004-04-23,"Regular Petrol","Importer cost",48.6,"NZD c/L","Final"
"2004w17",2004-04-23,"Regular Petrol","Price excluding tax",59.8,"NZD c/L","Final"
"2004w17",2004-04-23,"Regular Petrol","ETS",0,"NZD c/L","Final"
"2004w17",2004-04-23,"Regular Petrol","GST",12.7,"NZD c/L","Final"
"2004w17",2004-04-23,"Regular Petrol","Taxes",42,"NZD c/L","Final"
"2004w17",2004-04-23,"Regular Petrol","Board price",114.5,"NZD c/L","Final"
"2004w17",2004-04-23,"Regular Petrol","Adjusted retail price",114.5,"NZD c/L","Final"
"2004w17",2004-04-23,"Regular Petrol","Importer margin",13.9,"NZD c/L","Final"
"2004w17",2004-04-23,"Regular Petrol","Importer margin trend",13.6944276968672,"NZD c/L","Final"
"2004w17",2004-04-23,"Premium Petrol 95R","Importer cost",50.54357143,"NZD c/L","Final"
"2004w17",2004-04-23,"Premium Petrol 95R","Price excluding tax",62.835,"NZD c/L","Final"
"2004w17",2004-04-23,"Premium Petrol 95R","ETS",0,"NZD c/L","Final"
"2004w17",2004-04-23,"Premium Petrol 95R","GST",13.1,"NZD c/L","Final"
"2004w17",2004-04-23,"Premium Petrol 95R","Taxes",41.965,"NZD c/L","Final"
"2004w17",2004-04-23,"Premium Petrol 95R","Board price",117.9,"NZD c/L","Final"
"2004w17",2004-04-23,"Premium Petrol 95R","Adjusted retail price",117.9,"NZD c/L","Final"
"2004w17",2004-04-23,"Premium Petrol 95R","Importer margin",12.29142857,"NZD c/L","Final"
"2004w17",2004-04-23,"Premium Petrol 95R","Importer margin trend",13.7761173499657,"NZD c/L","Final"
"2004w18",2004-04-30,"NA","Dubai crude price",32.65,"USD/bbl","Final"
"2004w18",2004-04-30,"NA","Dubai crude price",52.16,"NZD/bbl","Final"
"2004w18",2004-04-30,"NA","Exchange rate",0.626,"USD/NZD","Final"
"2004w18",2004-04-30,"Diesel","Importer cost",45.8,"NZD c/L","Final"
"2004w18",2004-04-30,"Diesel","Price excluding tax",58.3,"NZD c/L","Final"
"2004w18",2004-04-30,"Diesel","ETS",0,"NZD c/L","Final"
"2004w18",2004-04-30,"Diesel","GST",7.3,"NZD c/L","Final"
"2004w18",2004-04-30,"Diesel","Taxes",0.4,"NZD c/L","Final"
"2004w18",2004-04-30,"Diesel","Board price",66,"NZD c/L","Final"
"2004w18",2004-04-30,"Diesel","Adjusted retail price",66,"NZD c/L","Final"
"2004w18",2004-04-30,"Diesel","Importer margin",15.9,"NZD c/L","Final"
"2004w18",2004-04-30,"Diesel","Importer margin trend",18.3371542047861,"NZD c/L","Final"
"2004w18",2004-04-30,"Regular Petrol","Importer cost",52.2,"NZD c/L","Final"
"2004w18",2004-04-30,"Regular Petrol","Price excluding tax",58.5,"NZD c/L","Final"
"2004w18",2004-04-30,"Regular Petrol","ETS",0,"NZD c/L","Final"
"2004w18",2004-04-30,"Regular Petrol","GST",12.6,"NZD c/L","Final"
"2004w18",2004-04-30,"Regular Petrol","Taxes",41.9,"NZD c/L","Final"
"2004w18",2004-04-30,"Regular Petrol","Board price",113,"NZD c/L","Final"
"2004w18",2004-04-30,"Regular Petrol","Adjusted retail price",113,"NZD c/L","Final"
"2004w18",2004-04-30,"Regular Petrol","Importer margin",11.8,"NZD c/L","Final"
"2004w18",2004-04-30,"Regular Petrol","Importer margin trend",13.6798041146409,"NZD c/L","Final"
"2004w18",2004-04-30,"Premium Petrol 95R","Importer cost",52.86514286,"NZD c/L","Final"
"2004w18",2004-04-30,"Premium Petrol 95R","Price excluding tax",65.50166667,"NZD c/L","Final"
"2004w18",2004-04-30,"Premium Petrol 95R","ETS",0,"NZD c/L","Final"
